platform,account,published_at,title,url,views,likes,comments,shares,saves,followers_gained,duration_seconds
Instagram,the.ill.collective,2026-02-20T17:30:00,"one mic, one take",https://instagram.com/@the.ill.collective/post/100057,12346,1286,90,188,196,78,34
TikTok,theillcollective,2026-02-21T17:15:00,chasing that one feeling,https://tiktok.com/@theillcollective/post/100084,25483,1807,135,245,195,122,18
TikTok,theillcollective,2026-02-21T17:15:00,"one mic, one take",https://tiktok.com/@theillcollective/post/100133,8308,742,60,75,118,23,12
Instagram,the.ill.collective,2026-02-24T22:15:00,recording in a stairwell for the reverb,https://instagram.com/@the.ill.collective/post/100155,9854,580,25,56,152,37,58
YouTube,The ill collective,2026-02-26T08:00:00,this melody wouldn't leave my head,https://youtube.com/@theillcollective/post/100159,7274,581,39,119,0,44,58
YouTube,The ill collective fans,2026-02-26T20:30:00,turning my worst take into a hook,https://youtube.com/@theillcollectivefans/post/100069,18158,700,78,77,0,72,15
TikTok,theillcollective,2026-02-26T20:45:00,sampling a cassette I found,https://tiktok.com/@theillcollective/post/100109,11186,749,69,69,160,66,45
YouTube,The ill collective fans,2026-02-27T12:30:00,the sound everyone slept on,https://youtube.com/@theillcollectivefans/post/100081,18429,705,62,45,0,114,8
TikTok,theillcollective,2026-03-03T07:15:00,when the harmony finally clicked,https://tiktok.com/@theillcollective/post/100021,17194,2395,164,124,231,123,15
TikTok,theillcollective,2026-03-03T20:00:00,the demo vs the master,https://tiktok.com/@theillcollective/post/100104,4295,454,32,26,100,13,8
TikTok,theillcollective,2026-03-03T20:30:00,found my old lyric notebook,https://tiktok.com/@theillcollective/post/100003,43575,6346,449,1375,734,157,22
TikTok,theillcollective,2026-03-04T19:00:00,behind the last single,https://tiktok.com/@theillcollective/post/100031,8672,1300,108,312,358,46,58
TikTok,theillcollective,2026-03-05T17:45:00,this melody wouldn't leave my head,https://tiktok.com/@theillcollective/post/100047,1172,128,11,10,33,8,12
TikTok,theillcollective,2026-03-06T19:00:00,found my old lyric notebook,https://tiktok.com/@theillcollective/post/100016,156986,19042,841,4611,1858,386,12
Instagram,the.ill.collective,2026-03-08T08:45:00,chasing that one feeling,https://instagram.com/@the.ill.collective/post/100101,37284,1805,123,312,239,150,12
YouTube,The ill collective fans,2026-03-08T18:45:00,flipping a jazz chord into a trap beat,https://youtube.com/@theillcollectivefans/post/100092,1662,153,16,17,0,8,15
YouTube,The ill collective,2026-03-08T18:45:00,flipping a jazz chord into a trap beat,https://youtube.com/@theillcollective/post/100112,5573,442,51,78,0,23,58
YouTube,The ill collective,2026-03-09T22:45:00,"one mic, one take",https://youtube.com/@theillcollective/post/100138,310,30,3,5,0,1,34
YouTube,The ill collective fans,2026-03-10T18:00:00,wrote this at 3am,https://youtube.com/@theillcollectivefans/post/100085,3797,126,8,16,0,21,22
TikTok,theillcollective,2026-03-10T18:45:00,when the harmony finally clicked,https://tiktok.com/@theillcollective/post/100120,25275,4488,182,1099,747,166,27
Instagram,the.ill.collective,2026-03-10T19:30:00,wrote this at 3am,https://instagram.com/@the.ill.collective/post/100012,7726,407,33,58,102,51,18
TikTok,theillcollective,2026-03-11T19:00:00,sampling a cassette I found,https://tiktok.com/@theillcollective/post/100087,11762,1572,182,281,176,22,22
TikTok,theillcollective,2026-03-12T07:15:00,the demo vs the master,https://tiktok.com/@theillcollective/post/100100,30522,4165,166,448,609,46,34
TikTok,theillcollective,2026-03-15T20:45:00,tried to make you cry in 15 seconds,https://tiktok.com/@theillcollective/post/100179,17066,2828,186,688,739,77,27
YouTube,The ill collective fans,2026-03-17T20:00:00,"one mic, one take",https://youtube.com/@theillcollectivefans/post/100077,15586,1499,73,210,0,42,27
TikTok,theillcollective,2026-03-18T20:15:00,sampling a cassette I found,https://tiktok.com/@theillcollective/post/100175,3874,371,38,51,110,25,18
Instagram,the.ill.collective,2026-03-22T22:15:00,the lyric that got cut,https://instagram.com/@the.ill.collective/post/100017,20102,1894,110,193,430,67,22
TikTok,theillcollective,2026-03-24T20:00:00,made a beat from a voicemail,https://tiktok.com/@theillcollective/post/100114,10528,1490,133,289,317,72,8
YouTube,The ill collective,2026-03-25T07:15:00,chasing that one feeling,https://youtube.com/@theillcollective/post/100074,32457,1248,50,78,0,137,27
TikTok,theillcollective,2026-03-25T19:00:00,the sound everyone slept on,https://tiktok.com/@theillcollective/post/100093,4150,658,59,141,159,24,58
TikTok,theillcollective,2026-03-25T19:00:00,the sound everyone slept on,https://tiktok.com/@theillcollective/post/100113,30243,2229,254,211,642,143,22
YouTube,The ill collective fans,2026-03-26T07:30:00,"one mic, one take",https://youtube.com/@theillcollectivefans/post/100103,14080,1251,115,220,0,94,12
YouTube,The ill collective,2026-03-26T22:45:00,found my old lyric notebook,https://youtube.com/@theillcollective/post/100177,18309,1539,166,153,0,110,18
Instagram,the.ill.collective,2026-03-27T08:15:00,made a beat from a voicemail,https://instagram.com/@the.ill.collective/post/100128,1274,108,3,14,25,2,15
TikTok,theillcollective,2026-04-01T18:00:00,chasing that one feeling,https://tiktok.com/@theillcollective/post/100055,12770,2448,175,179,643,58,22
Instagram,the.ill.collective,2026-04-01T20:45:00,this melody wouldn't leave my head,https://instagram.com/@the.ill.collective/post/100032,3521,351,35,51,46,14,22
YouTube,The ill collective fans,2026-04-03T17:45:00,found my old lyric notebook,https://youtube.com/@theillcollectivefans/post/100067,20473,2200,158,143,0,129,18
TikTok,theillcollective,2026-04-04T21:45:00,recording in a stairwell for the reverb,https://tiktok.com/@theillcollective/post/100086,30293,1952,101,327,381,117,22
Instagram,the.ill.collective,2026-04-05T19:45:00,layering 40 vocals,https://instagram.com/@the.ill.collective/post/100052,14930,1341,99,91,209,51,12
YouTube,The ill collective,2026-04-09T07:30:00,first take vs final mix,https://youtube.com/@theillcollective/post/100124,3497,159,13,22,0,24,8
Instagram,the.ill.collective,2026-04-09T20:45:00,turning my worst take into a hook,https://instagram.com/@the.ill.collective/post/100118,17845,1991,75,256,359,50,27
TikTok,theillcollective,2026-04-10T17:45:00,made a beat from a voicemail,https://tiktok.com/@theillcollective/post/100045,3413,491,58,106,71,12,22
Instagram,the.ill.collective,2026-04-11T19:45:00,making noise sound pretty,https://instagram.com/@the.ill.collective/post/100121,4309,186,13,26,39,20,27
TikTok,theillcollective,2026-04-15T21:00:00,first take vs final mix,https://tiktok.com/@theillcollective/post/100015,8735,1532,85,290,368,57,45
TikTok,theillcollective,2026-04-18T21:30:00,made a beat from a voicemail,https://tiktok.com/@theillcollective/post/100080,31344,4485,460,982,1320,212,58
Instagram,the.ill.collective,2026-04-20T19:30:00,the demo vs the master,https://instagram.com/@the.ill.collective/post/100063,3663,410,22,65,39,27,22
YouTube,The ill collective fans,2026-04-20T21:30:00,tried to make you cry in 15 seconds,https://youtube.com/@theillcollectivefans/post/100142,6783,572,62,141,0,32,34
TikTok,theillcollective,2026-04-21T20:30:00,turning my worst take into a hook,https://tiktok.com/@theillcollective/post/100061,44750,3821,332,857,678,264,8
Instagram,the.ill.collective,2026-04-22T17:00:00,first take vs final mix,https://instagram.com/@the.ill.collective/post/100141,6062,640,33,37,113,29,8
YouTube,The ill collective fans,2026-04-22T17:15:00,when the harmony finally clicked,https://youtube.com/@theillcollectivefans/post/100164,10681,444,32,57,0,49,34
Instagram,the.ill.collective,2026-04-22T20:45:00,tried to make you cry in 15 seconds,https://instagram.com/@the.ill.collective/post/100043,5294,432,30,23,62,20,18
YouTube,The ill collective fans,2026-04-26T20:45:00,layering 40 vocals,https://youtube.com/@theillcollectivefans/post/100149,20433,1221,123,102,0,124,45
TikTok,theillcollective,2026-04-27T17:15:00,the sound everyone slept on,https://tiktok.com/@theillcollective/post/100166,8272,1199,89,142,102,15,34
TikTok,theillcollective,2026-04-28T20:15:00,"one mic, one take",https://tiktok.com/@theillcollective/post/100050,7532,1081,112,69,125,24,22
TikTok,theillcollective,2026-04-28T20:45:00,making noise sound pretty,https://tiktok.com/@theillcollective/post/100170,11631,1442,119,172,383,62,22
TikTok,theillcollective,2026-04-30T19:15:00,this melody wouldn't leave my head,https://tiktok.com/@theillcollective/post/100098,30216,5288,579,1248,905,117,27
YouTube,The ill collective,2026-05-01T07:00:00,the bridge nobody asked for,https://youtube.com/@theillcollective/post/100046,6203,277,20,62,0,31,45
TikTok,theillcollective,2026-05-01T12:00:00,a love song for a city,https://tiktok.com/@theillcollective/post/100072,40192,2090,182,510,190,139,15
YouTube,The ill collective,2026-05-01T17:15:00,making noise sound pretty,https://youtube.com/@theillcollective/post/100000,11371,959,65,53,0,30,58
TikTok,theillcollective,2026-05-02T19:00:00,layering 40 vocals,https://tiktok.com/@theillcollective/post/100014,8175,781,93,169,228,61,18
YouTube,The ill collective,2026-05-02T19:15:00,POV: the drop hits,https://youtube.com/@theillcollective/post/100126,19304,1850,170,273,0,86,58
Instagram,the.ill.collective,2026-05-03T18:30:00,flipping a jazz chord into a trap beat,https://instagram.com/@the.ill.collective/post/100147,1815,200,20,38,49,6,18
YouTube,The ill collective fans,2026-05-03T19:45:00,layering 40 vocals,https://youtube.com/@theillcollectivefans/post/100131,17061,1078,110,125,0,105,22
TikTok,theillcollective,2026-05-04T20:45:00,found my old lyric notebook,https://tiktok.com/@theillcollective/post/100053,28872,2753,162,671,465,135,8
TikTok,theillcollective,2026-05-06T18:45:00,the bridge nobody asked for,https://tiktok.com/@theillcollective/post/100062,1437,183,8,12,49,7,18
TikTok,theillcollective,2026-05-06T19:15:00,the bridge nobody asked for,https://tiktok.com/@theillcollective/post/100132,1761,305,23,20,69,4,15
YouTube,The ill collective,2026-05-07T21:15:00,recording in a stairwell for the reverb,https://youtube.com/@theillcollective/post/100144,13793,1177,94,90,0,39,18
YouTube,The ill collective fans,2026-05-08T22:00:00,the lyric that got cut,https://youtube.com/@theillcollectivefans/post/100146,1013,95,9,22,0,6,18
TikTok,theillcollective,2026-05-10T20:00:00,chasing that one feeling,https://tiktok.com/@theillcollective/post/100066,14112,755,73,64,82,68,27
YouTube,The ill collective,2026-05-11T12:30:00,the demo vs the master,https://youtube.com/@theillcollective/post/100171,493,19,1,3,0,2,45
TikTok,theillcollective,2026-05-11T18:30:00,when the harmony finally clicked,https://tiktok.com/@theillcollective/post/100078,5887,792,83,54,80,36,15
YouTube,The ill collective fans,2026-05-11T19:00:00,flipping a jazz chord into a trap beat,https://youtube.com/@theillcollectivefans/post/100026,2960,157,4,36,0,14,18
YouTube,The ill collective,2026-05-12T17:00:00,recording in a stairwell for the reverb,https://youtube.com/@theillcollective/post/100117,1492,51,3,8,0,4,15
YouTube,The ill collective fans,2026-05-17T07:30:00,chasing that one feeling,https://youtube.com/@theillcollectivefans/post/100042,810,69,7,13,0,2,8
YouTube,The ill collective fans,2026-05-17T20:45:00,when the harmony finally clicked,https://youtube.com/@theillcollectivefans/post/100060,8706,938,60,106,0,52,45
YouTube,The ill collective,2026-05-20T17:00:00,the bridge nobody asked for,https://youtube.com/@theillcollective/post/100037,12905,1317,63,71,0,28,15
TikTok,theillcollective,2026-05-20T18:45:00,made a beat from a voicemail,https://tiktok.com/@theillcollective/post/100167,26696,2040,193,286,193,40,12
Instagram,the.ill.collective,2026-05-20T20:45:00,wrote this at 3am,https://instagram.com/@the.ill.collective/post/100025,7979,420,45,42,87,62,8
TikTok,theillcollective,2026-05-21T18:45:00,"one mic, one take",https://tiktok.com/@theillcollective/post/100013,227214,24053,2298,5053,2502,568,58
TikTok,theillcollective,2026-05-22T21:30:00,a love song for a city,https://tiktok.com/@theillcollective/post/100002,28386,3707,237,594,972,153,27
YouTube,The ill collective,2026-05-23T19:00:00,first take vs final mix,https://youtube.com/@theillcollective/post/100111,21296,1021,63,167,0,93,58
YouTube,The ill collective fans,2026-05-25T08:15:00,sampling a cassette I found,https://youtube.com/@theillcollectivefans/post/100145,331,21,0,4,0,1,58
TikTok,theillcollective,2026-05-25T19:45:00,behind the last single,https://tiktok.com/@theillcollective/post/100105,23814,2605,194,389,738,112,12
TikTok,theillcollective,2026-05-26T17:30:00,the bridge nobody asked for,https://tiktok.com/@theillcollective/post/100099,38551,5346,226,574,1403,228,15
Instagram,the.ill.collective,2026-05-27T08:15:00,tried to make you cry in 15 seconds,https://instagram.com/@the.ill.collective/post/100139,7364,371,28,72,47,9,8
YouTube,The ill collective,2026-05-27T18:30:00,found my old lyric notebook,https://youtube.com/@theillcollective/post/100082,671,42,3,9,0,1,8
TikTok,theillcollective,2026-05-28T21:45:00,POV: the drop hits,https://tiktok.com/@theillcollective/post/100024,2419,231,23,22,19,6,27
TikTok,theillcollective,2026-05-29T18:45:00,wrote this at 3am,https://tiktok.com/@theillcollective/post/100007,11695,1465,138,272,290,35,27
YouTube,The ill collective,2026-05-30T18:00:00,when the harmony finally clicked,https://youtube.com/@theillcollective/post/100158,412,28,1,1,0,1,58
TikTok,theillcollective,2026-06-01T21:15:00,POV: the drop hits,https://tiktok.com/@theillcollective/post/100127,3711,468,32,47,86,9,58
YouTube,The ill collective fans,2026-06-01T22:15:00,a love song for a city,https://youtube.com/@theillcollectivefans/post/100039,374,25,2,5,0,1,12
Instagram,the.ill.collective,2026-06-02T17:15:00,this melody wouldn't leave my head,https://instagram.com/@the.ill.collective/post/100005,14829,1298,97,294,287,32,15
Instagram,the.ill.collective,2026-06-04T20:45:00,turning my worst take into a hook,https://instagram.com/@the.ill.collective/post/100129,3940,440,38,101,43,20,58
YouTube,The ill collective fans,2026-06-04T20:45:00,when the harmony finally clicked,https://youtube.com/@theillcollectivefans/post/100173,10519,459,46,43,0,14,18
Instagram,the.ill.collective,2026-06-05T08:30:00,wrote this at 3am,https://instagram.com/@the.ill.collective/post/100054,6670,410,22,31,58,47,45
Instagram,the.ill.collective,2026-06-06T21:15:00,a love song for a city,https://instagram.com/@the.ill.collective/post/100130,124715,11496,1119,2580,1651,181,22
YouTube,The ill collective,2026-06-12T18:45:00,flipping a jazz chord into a trap beat,https://youtube.com/@theillcollective/post/100116,957,55,5,12,0,7,15
TikTok,theillcollective,2026-06-12T21:30:00,POV: the drop hits,https://tiktok.com/@theillcollective/post/100019,15788,1646,170,180,371,119,15
TikTok,theillcollective,2026-06-12T21:45:00,the sound everyone slept on,https://tiktok.com/@theillcollective/post/100011,1224,110,5,10,10,6,18
YouTube,The ill collective fans,2026-06-13T08:00:00,tried to make you cry in 15 seconds,https://youtube.com/@theillcollectivefans/post/100076,2095,86,7,16,0,7,58
TikTok,theillcollective,2026-06-13T20:30:00,making noise sound pretty,https://tiktok.com/@theillcollective/post/100089,14718,809,27,100,115,82,12
TikTok,theillcollective,2026-06-13T20:45:00,"one mic, one take",https://tiktok.com/@theillcollective/post/100096,2610,471,52,41,107,13,45
TikTok,theillcollective,2026-06-15T12:45:00,layering 40 vocals,https://tiktok.com/@theillcollective/post/100110,44734,8614,776,1653,1731,142,22
TikTok,theillcollective,2026-06-15T19:45:00,recording in a stairwell for the reverb,https://tiktok.com/@theillcollective/post/100169,800,69,7,11,17,3,27
TikTok,theillcollective,2026-06-16T07:30:00,layering 40 vocals,https://tiktok.com/@theillcollective/post/100008,42312,3951,340,862,757,108,27
Instagram,the.ill.collective,2026-06-16T18:15:00,this melody wouldn't leave my head,https://instagram.com/@the.ill.collective/post/100030,8952,543,49,124,146,64,34
Instagram,the.ill.collective,2026-06-16T21:15:00,POV: the drop hits,https://instagram.com/@the.ill.collective/post/100064,17975,747,46,81,174,24,34
TikTok,theillcollective,2026-06-17T18:00:00,this melody wouldn't leave my head,https://tiktok.com/@theillcollective/post/100018,801,79,6,11,8,2,12
YouTube,The ill collective,2026-06-18T12:30:00,the sound everyone slept on,https://youtube.com/@theillcollective/post/100036,2868,172,11,34,0,19,22
YouTube,The ill collective fans,2026-06-18T19:00:00,recording in a stairwell for the reverb,https://youtube.com/@theillcollectivefans/post/100090,4040,303,22,24,0,6,12
YouTube,The ill collective,2026-06-19T20:30:00,tried to make you cry in 15 seconds,https://youtube.com/@theillcollective/post/100038,727,55,5,13,0,1,8
YouTube,The ill collective fans,2026-06-21T19:30:00,recording in a stairwell for the reverb,https://youtube.com/@theillcollectivefans/post/100044,3611,214,11,21,0,7,18
TikTok,theillcollective,2026-06-22T18:45:00,flipping a jazz chord into a trap beat,https://tiktok.com/@theillcollective/post/100162,42015,5495,449,541,894,283,34
YouTube,The ill collective fans,2026-06-23T22:15:00,recording in a stairwell for the reverb,https://youtube.com/@theillcollectivefans/post/100056,4171,192,18,14,0,6,34
TikTok,theillcollective,2026-06-24T07:30:00,the sound everyone slept on,https://tiktok.com/@theillcollective/post/100035,19046,2875,324,707,567,140,8
TikTok,theillcollective,2026-06-25T17:45:00,the lyric that got cut,https://tiktok.com/@theillcollective/post/100157,7768,842,72,176,199,13,15
Instagram,the.ill.collective,2026-06-26T12:15:00,behind the last single,https://instagram.com/@the.ill.collective/post/100070,13950,1095,106,261,188,87,15
YouTube,The ill collective fans,2026-06-28T17:00:00,behind the last single,https://youtube.com/@theillcollectivefans/post/100075,11068,830,72,46,0,88,34
Instagram,the.ill.collective,2026-06-28T19:15:00,wrote this at 3am,https://instagram.com/@the.ill.collective/post/100097,11715,493,43,110,99,22,58
Instagram,the.ill.collective,2026-06-28T22:30:00,the sound everyone slept on,https://instagram.com/@the.ill.collective/post/100059,13372,984,69,191,167,75,15
Instagram,the.ill.collective,2026-06-29T20:00:00,found my old lyric notebook,https://instagram.com/@the.ill.collective/post/100091,1312,96,4,11,13,5,27
YouTube,The ill collective fans,2026-06-30T18:30:00,wrote this at 3am,https://youtube.com/@theillcollectivefans/post/100094,1936,118,5,29,0,4,22
Instagram,the.ill.collective,2026-07-04T07:00:00,"one mic, one take",https://instagram.com/@the.ill.collective/post/100150,15958,1570,166,151,369,20,58
TikTok,theillcollective,2026-07-04T12:15:00,tried to make you cry in 15 seconds,https://tiktok.com/@theillcollective/post/100152,16229,1609,59,389,291,46,18
Instagram,the.ill.collective,2026-07-04T19:00:00,a love song for a city,https://instagram.com/@the.ill.collective/post/100102,2710,285,15,15,72,9,12
Instagram,the.ill.collective,2026-07-05T21:15:00,layering 40 vocals,https://instagram.com/@the.ill.collective/post/100154,1073,119,4,7,33,7,8
YouTube,The ill collective fans,2026-07-06T18:15:00,making noise sound pretty,https://youtube.com/@theillcollectivefans/post/100140,1305,76,7,5,0,8,34
Instagram,the.ill.collective,2026-07-06T18:30:00,first take vs final mix,https://instagram.com/@the.ill.collective/post/100040,548,18,1,2,2,3,45
YouTube,The ill collective,2026-07-06T20:15:00,this melody wouldn't leave my head,https://youtube.com/@theillcollective/post/100004,4273,461,22,52,0,27,8
YouTube,The ill collective,2026-07-06T20:15:00,tried to make you cry in 15 seconds,https://youtube.com/@theillcollective/post/100010,8991,386,32,93,0,67,18
YouTube,The ill collective fans,2026-07-07T21:15:00,turning my worst take into a hook,https://youtube.com/@theillcollectivefans/post/100135,12228,1021,78,158,0,44,12
TikTok,theillcollective,2026-07-08T08:15:00,the lyric that got cut,https://tiktok.com/@theillcollective/post/100033,2563,287,19,45,49,6,34
TikTok,theillcollective,2026-07-09T18:00:00,making noise sound pretty,https://tiktok.com/@theillcollective/post/100106,971,84,5,15,13,1,27
TikTok,theillcollective,2026-07-11T12:30:00,the demo vs the master,https://tiktok.com/@theillcollective/post/100020,15422,1154,62,170,322,107,12
YouTube,The ill collective,2026-07-12T12:30:00,when the harmony finally clicked,https://youtube.com/@theillcollective/post/100172,588,32,1,1,0,1,34
YouTube,The ill collective fans,2026-07-12T18:45:00,wrote this at 3am,https://youtube.com/@theillcollectivefans/post/100068,301,20,1,3,0,2,27
YouTube,The ill collective fans,2026-07-14T08:45:00,flipping a jazz chord into a trap beat,https://youtube.com/@theillcollectivefans/post/100137,9373,269,8,25,0,15,34
TikTok,theillcollective,2026-07-14T20:45:00,when the harmony finally clicked,https://tiktok.com/@theillcollective/post/100174,12650,841,87,103,219,18,45
TikTok,theillcollective,2026-07-14T21:15:00,the bridge nobody asked for,https://tiktok.com/@theillcollective/post/100148,805,102,5,9,13,4,18
Instagram,the.ill.collective,2026-07-16T19:15:00,first take vs final mix,https://instagram.com/@the.ill.collective/post/100136,2007,79,6,5,15,13,45
Instagram,the.ill.collective,2026-07-17T18:00:00,the bridge nobody asked for,https://instagram.com/@the.ill.collective/post/100034,15870,1236,130,194,298,105,18
TikTok,theillcollective,2026-07-17T20:45:00,the bridge nobody asked for,https://tiktok.com/@theillcollective/post/100178,5913,927,61,185,215,42,45
YouTube,The ill collective fans,2026-07-19T18:45:00,found my old lyric notebook,https://youtube.com/@theillcollectivefans/post/100006,2620,105,10,23,0,5,15
TikTok,theillcollective,2026-07-19T19:45:00,flipping a jazz chord into a trap beat,https://tiktok.com/@theillcollective/post/100022,1275,219,23,50,27,3,12
TikTok,theillcollective,2026-07-20T17:15:00,wrote this at 3am,https://tiktok.com/@theillcollective/post/100073,4619,594,63,46,64,13,15
TikTok,theillcollective,2026-07-21T22:15:00,found my old lyric notebook,https://tiktok.com/@theillcollective/post/100163,19825,3179,298,437,458,117,34
YouTube,The ill collective,2026-07-22T19:15:00,turning my worst take into a hook,https://youtube.com/@theillcollective/post/100123,10879,488,41,106,0,23,18
Instagram,the.ill.collective,2026-07-22T20:45:00,tried to make you cry in 15 seconds,https://instagram.com/@the.ill.collective/post/100161,628,69,5,14,10,2,15
TikTok,theillcollective,2026-07-22T21:45:00,sampling a cassette I found,https://tiktok.com/@theillcollective/post/100119,13154,760,47,99,68,20,58
YouTube,The ill collective,2026-07-23T18:00:00,the sound everyone slept on,https://youtube.com/@theillcollective/post/100009,475,55,2,5,0,2,12
TikTok,theillcollective,2026-07-25T19:15:00,sampling a cassette I found,https://tiktok.com/@theillcollective/post/100048,26077,3805,315,516,780,41,12
TikTok,theillcollective,2026-07-25T20:30:00,the demo vs the master,https://tiktok.com/@theillcollective/post/100065,26081,3388,159,339,834,167,15
Instagram,the.ill.collective,2026-07-26T20:15:00,tried to make you cry in 15 seconds,https://instagram.com/@the.ill.collective/post/100176,6530,766,62,119,161,15,22
YouTube,The ill collective fans,2026-07-27T18:30:00,the demo vs the master,https://youtube.com/@theillcollectivefans/post/100071,311,23,2,1,0,1,58
YouTube,The ill collective,2026-07-27T19:45:00,chasing that one feeling,https://youtube.com/@theillcollective/post/100028,28687,1858,165,265,0,120,18
TikTok,theillcollective,2026-07-27T20:30:00,behind the last single,https://tiktok.com/@theillcollective/post/100122,14838,1607,129,232,134,51,12
TikTok,theillcollective,2026-07-27T21:45:00,a love song for a city,https://tiktok.com/@theillcollective/post/100041,8995,1001,52,237,141,38,45
Instagram,the.ill.collective,2026-07-28T20:15:00,POV: the drop hits,https://instagram.com/@the.ill.collective/post/100023,13206,1583,51,312,242,99,18
TikTok,theillcollective,2026-07-29T18:00:00,found my old lyric notebook,https://tiktok.com/@theillcollective/post/100027,22240,1815,120,198,196,90,34
TikTok,theillcollective,2026-07-30T20:45:00,when the harmony finally clicked,https://tiktok.com/@theillcollective/post/100143,852,101,7,19,17,2,15
Instagram,the.ill.collective,2026-08-02T22:00:00,turning my worst take into a hook,https://instagram.com/@the.ill.collective/post/100107,558,40,3,9,4,2,45
TikTok,theillcollective,2026-08-04T18:45:00,the demo vs the master,https://tiktok.com/@theillcollective/post/100108,157742,15272,1068,998,1684,582,27
TikTok,theillcollective,2026-08-05T17:45:00,the sound everyone slept on,https://tiktok.com/@theillcollective/post/100115,134485,15967,913,1580,4113,532,45
