platform,account,title,caption,views
TikTok,theillcollective,i don't think donald is going to like my new single...,was so close to deleting this track #singersongwriter #trump #epsteinfiles #iran,224000
TikTok,theillcollective,i'm convinced tiktok is only showing my music to New Zealand. Where are you from?,let me know x #theillcollective #singersongwriter #indiemusician #nzmusic #newmusic,43000
TikTok,theillcollective,hi if you have 20 seconds please take a listen to my music. You could be one of my first fans.,You can find the ill collective on spotify #theillcollective #indiemusician #newmusicalert #indiemusic #singersongwriter,42000
TikTok,theillcollective,i'm convinced tiktok only shows my music to people in New Zealand. where are you from?,The party's over - The ill collective 💙💀#theillcollective #nzmusic #singersongwriter #indiemusician #indiemusic,34000
TikTok,theillcollective,pov: when you write a song about Donald and tiktok tries to ban it,#trump #epstein #epsteinfiles #iran #bloodorange,29000
TikTok,theillcollective,my name is the ill collective,Let me know what you think x#theillcollective #indiemusic #singersongwriter #upandcomingartist #newmusic,29000
TikTok,theillcollective,but the people spoke ✌️,didn't expect so much love from this song #theillcollective #newmusic #epstien #trump,21000
TikTok,theillcollective,someone should write a protest song about donald:,blood orange #trump #epstein #iran #whitehouse #us,20000
TikTok,theillcollective,is this the 2026 anthem?,#tiktokartist #singersongwriter #indiemusic #newmusicalert #indiemusic,18000
TikTok,theillcollective,"If you're supporting someone through a tough time, this song is for you",Still breathing by the ill collective #theillcollective #singersongwriter #upandcomingartist #newmusic #newmusicalert,13000
TikTok,theillcollective,POV: Tiktok keeps pulling down your new single about TR-MP,can't stop won't stop #trump #epstein #epsteinfiles #iran #bloodorange,11000
TikTok,theillcollective,I wrote this for anyone out there living in disbelief with the state of the world,this was a cooking for a while #trump #iran #epstien #israel #warcrimes,9830
TikTok,theillcollective,pretty sure i've genuinely just found an artist before they blow up,pre save 'victim' link in bio #theillcollective #musicdaily #songwriting #upandcomingartist #newmusic,9788
TikTok,theillcollective,POV: when you're so sick of this man you write him a song,though he'd love to hear what i've wrote for him #trump #iran #epstien #war #indiemusic,8927
TikTok,theillcollective,hi you've just scrolled upon a very small New Zealand artist,#theillcollective #singersongwriter #upandcomingartist #nzmusic #nzartist,7493
TikTok,theillcollective,"[reply-to-comment video, no fixed on-screen hook] Reply to @Finny: ""I'm a trump supporter, but this is actually lowkey fire!! Keep up the good work my""",Replying to @Finny Who's keen to help share this track? 🫶🍊#theillcollective #orangeman #trump #iran #epstien,6891
TikTok,theillcollective,pov: your a small NZ artist and your single dropped today,finally out! link in bio to stream xx #newreleasefriday #newmusic #songwriting #nzmusic,5642
TikTok,theillcollective,The song no one wants to write but we all want to hear,Reckon it's worth finishing? #trump #iran #epstien #ice #indiemusic,5547
TikTok,theillcollective,my artist name is the ill collective,just shooting my shot. Hope some of my music resonates with you x #theillcollective #indiemusic #singersongwriter #upandcomingartist #newmusic,5505
TikTok,theillcollective,turns out a few others were feeling the same way,hope you enjoying the tune x #theillcollective #orangeman #trump #iran #epsteinfiles,5355
TikTok,theillcollective,i'm a nz artist i make indie soul music out of my bedroom,link in comments to album x #theillcollective #singersongwriter #upandcomingartist #newmusicalert #newmusic,5158
TikTok,theillcollective,I wrote this album after surviving a year long depression then becoming a Dad,Hope you enjoy #theillcollective #indiemusic #singersongwriter,4965
TikTok,theillcollective,I don't think this is a hit... but it's honest,all in my head - the ill collective #indiemusic #newmusicalert #upandcomingartist #newmusic #nzmusic,4566
TikTok,theillcollective,"[AI lyric video, no fixed on-screen hook — karaoke-style lyrics only]",blood orange - the ill collective #tiktokartist #singersongwriter #trump #epsteinfiles #iran,4262
TikTok,theillcollective,If you have 15 seconds take a listen x,#theillcollective #indiemusic #singersongwriter #newmusic #upandcomingartist,3683
TikTok,theillcollective,"As a non-trending artist, the fact that I was able to land on your page is pretty cool. If you're one of the few watching, this undiscovered song can be OUR little secret","Hey if you wanna gatekeeping, you do you 💙🫶 #theillcollective #singersongwriter #indiemusician #indiemusic #upandcomingartist",3646
TikTok,theillcollective,I lost one of my best mates to addiction. This is the song I wrote about him. Its out tomorrow.,Out on spotify and all streaming services soon #theillcollective #newmusic #nzmusic #newmusicalert #nzartist,3277
TikTok,theillcollective,Hellloooo you have stumbled upon a small indie artist / I make indie soul music that sounds like this,#theillcollective #singersongwriter #upandcomingartist #newmusicalert #newmusicalert,3272
TikTok,theillcollective,Don't think Donald is going to like this one 💀,dropping soon #trump #iran #epstien #ice #indiemusic,3115
TikTok,theillcollective,POV: when your nextdoor neighbour HATES the song you just dropped,no anyone that's going to hate this? #theillcollective #epsteinfiles #trump #iran,2916
TikTok,theillcollective,"""it's just a song...""",hopefully out next week #trump #iran #epstien #warcrimes #israel,2797
TikTok,theillcollective,POV: you wrote an anti TR-MP song in a mcdonald's carpark and people ACTUALLY play it,#indieartist #nzmusic #newsong #indiemusic #newmusic,2658
TikTok,theillcollective,If I was lucky enough to get your attention. My name is the ill collective. I make music from my bedroom in New Zealand.,Even if you stop for a couple seconds I appreciate your ears x #theillcollective #singersongwriter #upandcomingartist #newmusic #indiemusician,2337
TikTok,theillcollective,pov: you're a New Zealand artist and your first single drops this saturday,Less than two days til 'The party's over drops. Check out the ill collective on spotify if you keen :) #singersongwriter #newmusicalert #nzmusic #newmusic #upandcomingartist,2266
TikTok,theillcollective,pov: you're an undiscovered artist and your single drops on spotify next week,20 march 🫶 #indiemusic #newmusicalert #songwriter,1948
TikTok,theillcollective,he's just another tiktok artist...,dropping soon #tiktokartist #singersongwriter #newmusic,1723
TikTok,theillcollective,can we normalise listening to small artists? I'm tired of ppl skipping just becuase we're not trending yet..,if you are wondering this song is called the party's over by the ill collective #theillcollective #nzmusic #singersongwriter #indiemusic #indiemusician,1593
TikTok,theillcollective,There was an orange man in a white house he had no soul and they found out so he set the world on fire / It's not good enough that we sit back We watch it all unfold and just let the world burn to the ground,he's gunna love it #tiktokartist #singersongwriter #trending #trump #iran,1571
TikTok,theillcollective,There was an orange man in a white house he had no soul and they found out so he set the world on fire / It's not good enough that we sit back We watch it all unfold and just let the world burn to the ground,Blood orange - coming soon #trump #iran #epstien #israel #warcrimes,1519
TikTok,theillcollective,My name is the ill collective. I wrote this song in my bedroom back in New Zealand -->,Blood orange live now. If you agree with the message please help share x #theillcollective #trump #epsteinfiles #iran #epstien,1496
TikTok,theillcollective,"[reply-to-comment video] Reply to Farah Syed: ""There's only so many times I can hear this on repeat! Bruh! Release the full version! Pretty Please!""",Replying to @Farah Syed can't wait to get the full version out. appreciate the 💙 #singersongwriter #trump #epsteinfiles #iran #epstien,1479
TikTok,theillcollective,hi i'm the ill collective and i make music like this,this song is called the party's over by the ill collective. it's now out on all platforms :) #singersongwriter #newmusic #indiemusician #theillcollective #indiemusic,1404
TikTok,theillcollective,pov: your first ever single dropped today,the party's over by the ill collective :) #theillcollective #nzmusic #singersongwriter #indiemusician #indiemusician,1345
TikTok,theillcollective,it's just a song...,#trump #epstein #epsteinfiles #iran #bloodorange,1314
TikTok,theillcollective,[karaoke-style lyric video] he's...,Blood orange - the ill collective . Keep an ear out #trump #iran #epstien #warcrimes #indiemusic,1192
TikTok,theillcollective,it's called blood orange -->,let me know what you think #trump #epstein #epsteinfiles #iran #bloodorange,1145
TikTok,theillcollective,POV: waiting anxiously for Spotify to publish my song about an evil orange man,There's a good chance my account will get frozen #trump #epsteinfiles #epstien #warcrimes,1137
TikTok,theillcollective,"[reply-to-comment video] Reply to Jasmine Robertson: ""I will listen to this on repeat. We need the full version. Listening in New Zealand.""",Replying to @Jasmine Robertson dropping next week 💙🍊🍊 #trump #epsteinfiles #epstien #iran,1137
TikTok,theillcollective,Just a very small New Zealand songwriter dropping a new track,Can't wait to drop this. #IndieMusic #Theillcollective,1077
TikTok,theillcollective,not sure if tiktok wants to show my music outside of new zealand. where are you from?,dropping june 12 - link in bio #indieartist #nzmusic #newsong #indiemusic #newmusic,1029
TikTok,theillcollective,"if YOU are totally disgusted by Donald and what he's doing to the world, this is YOUR song",let me know where you are listening from #trump #epstein #epsteinfiles #iran #bloodorange,1029
TikTok,theillcollective,i always get an embarrassing amount of views on tiktok. consider yourself very early to my music 🙇,"this one is called ""too late now"" - the ill collective. #indieartist #nzmusic #newsong #indiemusic #newmusic",1027
TikTok,theillcollective,"POV: Tiktok, Youtube & Spotify keep trying to silence you're protest song",loving all the support flowing in 🫂 #trump #epstein #epsteinfiles #iran #israel,1027
TikTok,theillcollective,these lyrics just fell out of the sky one evening,#singersongwriter #tiktokartist,1021
TikTok,theillcollective,BUT you should x,link in bio if you want the whole song #trump #epstein #epsteinfiles #iran #bloodorange,1004
